canonical_concept_id,canonical_concept_name,raw_concept_name,parent_domain,competency_area,source_file,source_id,alias_name,is_canonical_label,embedding_text
CC-0043,Gross Value Added (GVA),GVA,National Accounts Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-01,GVA,False,Gross Value Added (GVA). Domain: National Accounts Statistics. Competency area: Statistical.
CC-0043,Gross Value Added (GVA),Gross Value Added (GVA),National Accounts Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI002,Gross Value Added (GVA),True,Gross Value Added (GVA). Domain: National Accounts Statistics. Competency area: Statistical.
CC-0044,Household Consumption Expenditure Survey (HCES),HCES,National Sample Survey,Survey Statistics,05_MOSPI_statistical_domains.csv,STAT-04,HCES,False,Household Consumption Expenditure Survey (HCES). Domain: National Sample Survey. Competency area: Survey Statistics.
CC-0044,Household Consumption Expenditure Survey (HCES),Household Consumption Expenditure Survey (HCES),National Sample Survey,Statistical,MoSPI.dataset.xlsx,MOSPI022,Household Consumption Expenditure Survey (HCES),True,Household Consumption Expenditure Survey (HCES). Domain: National Sample Survey. Competency area: Statistical.
CC-0045,Index of Industrial Production (IIP),IIP,Industry Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-02,IIP,False,Index of Industrial Production (IIP). Domain: Industry Statistics. Competency area: Statistical.
CC-0045,Index of Industrial Production (IIP),Index of Industrial Production (IIP),Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI006,Index of Industrial Production (IIP),True,Index of Industrial Production (IIP). Domain: Industry Statistics. Competency area: Statistical.
CC-0046,Index of Industrial Production - Electricity & Gas Supply,Index of Industrial Production - Electricity & Gas Supply,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI009,Index of Industrial Production - Electricity & Gas Supply,True,Index of Industrial Production - Electricity & Gas Supply. Domain: Industry Statistics. Competency area: Statistical.
CC-0047,Index of Industrial Production - Manufacturing,Index of Industrial Production - Manufacturing,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI008,Index of Industrial Production - Manufacturing,True,Index of Industrial Production - Manufacturing. Domain: Industry Statistics. Competency area: Statistical.
CC-0048,Index of Industrial Production - Mining & Quarrying,Index of Industrial Production - Mining & Quarrying,Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI007,Index of Industrial Production - Mining & Quarrying,True,Index of Industrial Production - Mining & Quarrying. Domain: Industry Statistics. Competency area: Statistical.
CC-0049,"Index of Industrial Production - Water Supply, Sewerage & Waste Management","Index of Industrial Production - Water Supply, Sewerage & Waste Management",Industry Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI010,"Index of Industrial Production - Water Supply, Sewerage & Waste Management",True,"Index of Industrial Production - Water Supply, Sewerage & Waste Management. Domain: Industry Statistics. Competency area: Statistical."
CC-0050,Indicators,Indicators,Sustainable Development Goals,SDG / Statistical,05_MOSPI_statistical_domains.csv,STAT-05,Indicators,True,Indicators. Domain: Sustainable Development Goals. Competency area: SDG / Statistical.
CC-0051,Inflation,Inflation,Price Statistics,Statistical,05_MOSPI_statistical_domains.csv,STAT-03,Inflation,True,Inflation. Domain: Price Statistics. Competency area: Statistical.
CC-0052,Inflation (CFPI Based),Inflation (CFPI Based),Price Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI018,Inflation (CFPI Based),True,Inflation (CFPI Based). Domain: Price Statistics. Competency area: Statistical.
CC-0053,Inflation (CPI Based),Inflation (CPI Based),Price Statistics,Statistical,MoSPI.dataset.xlsx,MOSPI016,Inflation (CPI Based),True,Inflation (CPI Based). Domain: Price Statistics. Competency area: Statistical.
CC-0054,Infrastructure and Project Monitoring Division (IPMD),Infrastructure and Project Monitoring Division (IPMD),Programme Implementation,Programme Implementation,MoSPI.dataset.xlsx,MOSPI035,Infrastructure and Project Monitoring Division (IPMD),True,Infrastructure and Project Monitoring Division (IPMD). Domain: Programme Implementation. Competency area: Programme Implementation.
CC-0055,Inter-ministerial Statistical Coordination,Inter-ministerial Statistical Coordination,Data Governance,Data Governance,05_MOSPI_statistical_domains.csv,STAT-06,Inter-ministerial Statistical Coordination,True,Inter-ministerial Statistical Coordination. Domain: Data Governance. Competency area: Data Governance.
CC-0056,International Training,International Training,NSSTA Training Category,Training/Categorization,nssta.dataset.xlsx,NSSTA-CAT-007,International Training,True,International Training. Domain: NSSTA Training Category. Competency area: Training/Categorization.
CC-0057,ISS Probationary Training,ISS Probationary Training,NSSTA Training Category,Training/Categorization,nssta.dataset.xlsx,NSSTA-CAT-001,ISS Probationary Training,True,ISS Probationary Training. Domain: NSSTA Training Category. Competency area: Training/Categorization.
CC-0058,ISS Refresher Training,ISS Refresher Training,NSSTA Training Category,Training/Categorization,nssta.dataset.xlsx,NSSTA-CAT-002,ISS Refresher Training,True,ISS Refresher Training. Domain: NSSTA Training Category. Competency area: Training/Categorization.
